Team,Position,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
Argentina,1,7,6.0,0,1,15,8.0,7,18
France,2,7,5.0,0,2,16,8.0,8,15
Croatia,3,7,4.0,2,1,8,7.0,1,14
Morocco,4,7,4.0,1,2,6,5.0,1,13
England,5,5,3.0,1,1,13,4.0,9,10
Netherlands,6,5,3.0,1,1,10,4.0,6,10
Portugal,7,5,3.0,0,2,12,6.0,6,9
Brazil,8,5,3.0,0,2,8,3.0,5,9
Japan,9,4,2.0,0,2,5,4.0,1,6
Senegal,10,4,2.0,0,2,5,7.0,-2,6
Australia,11,4,2.0,0,2,4,6.0,-2,6
Switzerland,12,4,2.0,0,2,5,9.0,-4,6
USA,13,4,1.0,2,1,3,4.0,-1,5
Spain,14,4,1.0,1,2,9,3.0,6,4
Poland,15,4,1.0,1,2,3,5.0,-2,4
South Korea,16,4,1.0,1,2,5,8.0,-3,4
Germany,17,3,1.0,1,1,6,5.0,1,4
Ecuador,18,3,1.0,1,1,4,3.0,1,4
Cameroon,19,3,1.0,1,1,4,4.0,0,4
Uruguay,20,3,1.0,1,1,2,2.0,0,4
Tunisia,21,3,1.0,1,1,1,1.0,0,4
Mexico,22,3,1.0,1,1,2,3.0,-1,4
Belgium,23,3,1.0,1,1,1,2.0,-1,4
Ghana,24,3,1.0,0,2,5,7.0,-2,3
Iran,26,3,1.0,0,2,4,7.0,-3,3
Costa Rica,27,3,1.0,0,2,3,11.0,-8,3
Denmark,28,3,0.0,1,2,1,3.0,-2,1
Serbia,29,3,0.0,1,2,5,8.0,-3,1
Canada,31,3,0.0,0,3,2,7.0,-5,0
Qatar,32,3,0.0,0,3,1,7.0,-6,0
